Category	Trait	Yellow-Bellied	Western	Dusky	Hammond's	Least	Alder	Acadian	Willow	Gray	Western Wood-Pewee	Eastern Wood-Pewee
Eye-Ring	None				x		x		x		x	x
Eye-Ring	Thin, distinct				x	x	x		x			x
Eye-Ring	messy			x	x	x				x		
Eye-Ring	bold, crisp	x				x		x				
Eye-Ring	tear-shaped		x									
lower mandible	all dark			x	x						x	x
lower mandible	partial			x	x	x					x	x
lower mandible	all pale	x	x			x	x	x	x	x		
bill size	small			x	x	x						
bill size	medium	x	x	x		x	x		x			
bill size	long							x		x	x	x
tail length	short				x	x						
tail length	medium	x	x	x	x	x	x	x	x		x	x
tail length	long			x						x		
primary extension	short			x		x				x		
primary extension	medium		x	x		x	x		x	x		
primary extension	long	x	x		x			x			x	x
tail width	fat							x				
tail width	medium						x		x			
tail width	narrow	x	x	x	x	x				x		
crown shape	round	x		x	x	x	x					
crown shape	peaked		x	x	x	x		x	x		x	x
crown shape	flat			x	x	x				x		
crown shape	crested		x								x	x
forehead angle	shallow							x			x	x
forehead angle	medium	x	x	x		x	x		x	x	x	x
forehead angle	steep				x							
underpart/upperpart contrast	strong					x	x	x				
underpart/upperpart contrast	medium			x		x	x		x			x
underpart/upperpart contrast	weak	x	x	x	x					x	x	x
wingbar contrast	strong	x				x		x				
wingbar contrast	medium		x	x	x		x		x			x
wingbar contrast	weak									x	x	x
wing panel contrast	strong	x				x						
wing panel contrast	medium		x	x	x		x	x				
wing panel contrast	weak			x	x				x	x	x	x
p6 emargination	not emarginated						x	x	x		x	x
p6 emargination	emarginated	x	x	x	x	x				x		
